Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
1.975826023419698,0.12215878158807754,0.022387266,0.047415316,0.33333334,0.20772703,0.8049865,"[[293  26 145  67   9]
 [ 62   7  48  20   3]
 [123   9  71  26   5]
 [115   9  57  25   8]
 [ 29   6  18  15   4]]",0.07694042,0.14634955,0.385,0.22010663,0.81638813,"[[110   5  50   9   0]
 [ 25   3  16   2   0]
 [ 48   5  34   5   0]
 [ 28   5  27   7   1]
 [ 10   0   7   3   0]]"
1.7815861829121908,0.10989631533622742,0.061239302,0.12783396,0.44833332,0.18548524,0.81183076,"[[494   2  30  13   1]
 [124   1  12   3   0]
 [197   5  23   9   0]
 [167   2  25  20   0]
 [ 48   0  14  10   0]]",0.14750654,0.26006842,0.4925,0.23164845,0.82709086,"[[171   0   3   0   0]
 [ 46   0   0   0   0]
 [ 74   0  13   5   0]
 [ 42   0  13  13   0]
 [ 14   0   3   3   0]]"
1.3262131611506145,0.09565059900283814,0.25820214,0.49531466,0.525,0.29142675,0.85165673,"[[472   0  31  37   0]
 [107   2  17  13   1]
 [138   0  38  56   2]
 [ 62   0  33 117   2]
 [ 17   0  12  42   1]]",0.39346617,0.73648834,0.5825,0.33460838,0.8824475,"[[148   0  10  16   0]
 [ 39   0   4   3   0]
 [ 17   0  21  54   0]
 [  1   0   3  64   0]
 [  0   0   1  19   0]]"
0.9405966556072235,0.08948268651962281,0.38327605,0.695318,0.5883333,0.33745793,0.8790014,"[[468   0  36  36   0]
 [102   0  25  13   0]
 [ 82   0  61  91   0]
 [ 17   0  20 177   0]
 [  3   0   4  65   0]]",0.45509982,0.81106764,0.6225,0.37777513,0.8954333,"[[148   0  24   2   0]
 [ 32   0  14   0   0]
 [  9   0  37  46   0]
 [  0   0   4  64   0]
 [  0   0   1  19   0]]"
0.8324684345722199,0.08658391505479812,0.4070425,0.70997393,0.60083336,0.37971908,0.8835257,"[[461  12  46  21   0]
 [101  11  17  11   0]
 [ 71  10  77  76   0]
 [ 12   1  29 172   0]
 [  8   0   4  60   0]]",0.5373807,0.8201036,0.665,0.50798404,0.9123687,"[[130  27  15   2   0]
 [ 17  24   5   0   0]
 [  8   9  51  24   0]
 [  0   1   6  61   0]
 [  0   1   1  18   0]]"
0.6903891734282176,0.0885535779595375,0.510545,0.7924373,0.6591667,0.47148883,0.90654016,"[[457  38  32  13   0]
 [ 65  46  22   7   0]
 [ 37  25 105  67   0]
 [  6   4  21 183   0]
 [  3   1   6  62   0]]",0.49723482,0.8259096,0.65,0.44532531,0.9025408,"[[148  14   9   3   0]
 [ 34   7   5   0   0]
 [ 12   8  42  30   0]
 [  0   1   4  63   0]
 [  0   0   3  17   0]]"
0.6263346054156621,0.08787134945392609,0.50528073,0.80323064,0.6508333,0.47391617,0.906795,"[[445  60  24  11   0]
 [ 51  62  25   2   0]
 [ 31  36  99  68   0]
 [  8   5  26 175   0]
 [  3   0   3  66   0]]",0.49883592,0.8137032,0.6475,0.50534105,0.9033029,"[[146  21   6   1   0]
 [ 30  12   4   0   0]
 [ 11  14  42  24   1]
 [  2   2   6  56   2]
 [  1   0   4  12   3]]"
0.5676468167702357,0.09162380486726761,0.55101556,0.8413148,0.6825,0.5670059,0.91590154,"[[460  59  16   5   0]
 [ 57  55  23   5   0]
 [ 17  39 126  51   1]
 [  7   5  35 159   8]
 [  1   3   5  44  19]]",0.49513543,0.7725187,0.64,0.5458549,0.9030077,"[[131  25  17   1   0]
 [ 22  14  10   0   0]
 [  7  11  66   8   0]
 [  2   1  23  39   3]
 [  2   0   4   8   6]]"
0.46044858972231545,0.08907213151454925,0.61812127,0.8746135,0.73083335,0.64169014,0.92781836,"[[474  50  12   4   0]
 [ 59  59  22   0   0]
 [ 12  31 145  44   2]
 [  3   4  34 169   4]
 [  3   0   5  34  30]]",0.46031028,0.7918303,0.61,0.49683774,0.8965616,"[[127  39   7   1   0]
 [ 24  16   6   0   0]
 [ 10  17  43  22   0]
 [  2   0   7  55   4]
 [  2   0   4  11   3]]"
0.45849590222040815,0.09319057375192642,0.62602794,0.87664306,0.7341667,0.62804115,0.9305526,"[[468  57  12   2   1]
 [ 44  78  17   1   0]
 [ 11  35 147  40   1]
 [  3   0  35 168   8]
 [  2   1   8  41  20]]",0.47959077,0.76298773,0.6325,0.5114355,0.89994097,"[[136  17  19   2   0]
 [ 24   8  14   0   0]
 [  8   8  59  17   0]
 [  1   1  18  45   3]
 [  3   0   3   9   5]]"
