Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0450469128290814,0.1234352520108223,0.00051003695,-0.03074181,0.21083333,0.1791617,0.79846406,"[[151  48  38  76 227]
 [ 57  23   5  12  43]
 [ 69  20  16  33  96]
 [ 72  26  13  33  70]
 [ 19   7   8   8  30]]",0.068011105,0.048987687,0.42,0.1656821,0.81381446,"[[156  17   0   1   0]
 [ 34  12   0   0   0]
 [ 70  22   0   0   0]
 [ 52  16   0   0   0]
 [ 16   3   0   1   0]]"
1.8415392208099366,0.12070549488067626,0.027954578,0.073990345,0.42833334,0.17060487,0.8054433,"[[489  20   6  15  10]
 [127   4   1   5   3]
 [201   9  10   8   6]
 [181   8   5   8  12]
 [ 57   3   2   7   3]]",0.0009063482,0.0051009655,0.435,0.121465966,0.8002356,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 67   0   1   0   0]
 [ 20   0   0   0   0]]"
1.4915071400006612,0.12103609710931779,0.17822975,0.35708034,0.485,0.25978464,0.83546245,"[[471   2  29  34   4]
 [103   0  16  20   1]
 [162   0  27  42   3]
 [102   0  28  80   4]
 [ 24   1  12  31   4]]",0.049553275,0.037693918,0.415,0.18216541,0.8096099,"[[147   2   2  23   0]
 [ 34   0   4   8   0]
 [ 68   1   7  16   0]
 [ 55   0   1  12   0]
 [ 17   0   1   2   0]]"
1.1134562071164449,0.12435673236846924,0.32471645,0.60409415,0.54583335,0.32079893,0.8683191,"[[442   1  47  50   0]
 [ 84   1  32  23   0]
 [ 85   0  67  82   0]
 [ 33   0  37 144   0]
 [  4   0   5  62   1]]",-0.040460348,-0.027510166,0.2925,0.17092219,0.79114854,"[[77  2 76 18  1]
 [29  1 13  2  1]
 [50  2 31  9  0]
 [25  2 33  8  0]
 [12  1  6  1  0]]"
1.0107266883055368,0.11767100363969803,0.35538697,0.66352123,0.5575,0.3434323,0.87608963,"[[437  21  36  46   0]
 [ 77  12  34  17   0]
 [ 69  20  53  92   0]
 [ 14   6  27 167   0]
 [  4   0   7  61   0]]",0.031453192,0.09815216,0.2625,0.16610116,0.80755043,"[[61 80 33  0  0]
 [12 27  7  0  0]
 [24 50 17  1  0]
 [22 26 20  0  0]
 [ 4  6 10  0  0]]"
0.8974055631955464,0.11776145160198212,0.39543074,0.7257693,0.5683333,0.3878367,0.8865727,"[[414  79  20  27   0]
 [ 53  52  17  18   0]
 [ 43  67  46  78   0]
 [  7  17  20 170   0]
 [  1   2   8  61   0]]",0.054523587,0.20056707,0.2925,0.18704185,0.8128037,"[[54 48 72  0  0]
 [12 16 18  0  0]
 [20 25 47  0  0]
 [12 10 46  0  0]
 [ 1  2 17  0  0]]"
0.8633415826161702,0.12014283508062362,0.42111027,0.70547056,0.5858333,0.42204815,0.89087427,"[[403  71  35  31   0]
 [ 44  58  30   8   0]
 [ 36  48  80  70   0]
 [ 10   5  37 162   0]
 [  6   1   9  56   0]]",0.043840885,0.10423952,0.295,0.17776154,0.81282616,"[[90 53  9 22  0]
 [21 16  2  7  0]
 [32 44  7  9  0]
 [20 37  6  5  0]
 [ 4  9  2  5  0]]"
0.8540117681026459,0.11741940766572952,0.39196074,0.71062815,0.56,0.40043387,0.8865359,"[[393  86  39  22   0]
 [ 45  64  18  13   0]
 [ 26  72  66  70   0]
 [ 10  15  40 149   0]
 [  3   3   8  58   0]]",0.07481903,0.13638294,0.31,0.15023665,0.82038903,"[[100  74   0   0   0]
 [ 22  24   0   0   0]
 [ 25  67   0   0   0]
 [ 24  44   0   0   0]
 [  3  17   0   0   0]]"
0.7816210822264353,0.12386805415153504,0.4439742,0.7583871,0.59583336,0.43947202,0.89625525,"[[393 107  24  16   0]
 [ 38  77  17   8   0]
 [ 30  69  78  57   0]
 [ 10  12  25 167   0]
 [  0   5   2  65   0]]",0.12068963,0.14147288,0.3625,0.16954915,0.8300135,"[[119  55   0   0   0]
 [ 20  26   0   0   0]
 [ 27  65   0   0   0]
 [ 26  42   0   0   0]
 [  8  12   0   0   0]]"
0.7379899529616037,0.13153887063264846,0.4933979,0.77528244,0.6333333,0.47478744,0.9059276,"[[408  81  32  19   0]
 [ 40  82  14   4   0]
 [ 18  59 101  56   0]
 [  6   9  30 169   0]
 [  2   2   7  61   0]]",0.06649196,0.06487018,0.43,0.15173423,0.8145493,"[[166   8   0   0   0]
 [ 40   6   0   0   0]
 [ 70  22   0   0   0]
 [ 48  20   0   0   0]
 [ 19   1   0   0   0]]"
