Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
1.9858183940251668,0.12497535347938538,0.026769936,0.06934333,0.22916667,0.19619232,0.80532175,"[[  3  76  87  31  18]
 [  8  87 114  27  18]
 [  1  86 108  30  29]
 [  4  78  92  43  22]
 [  3  84  71  46  34]]",0.06425536,0.17801529,0.2025,0.18049976,0.81314635,"[[  0 123  42   7   2]
 [  0  38   7   1   0]
 [  0  51  35   5   1]
 [  0  40  18   5   5]
 [  0   7   9   1   3]]"
1.7635142215092976,0.11023369193077087,0.12545049,0.36093986,0.29666665,0.26370072,0.82507074,"[[  5 153  41  32  15]
 [  2 155  47  14   7]
 [  1 128  59  29  20]
 [  4  86  64  67  44]
 [  2  53  35  67  70]]",0.11480564,0.5528054,0.22,0.23268697,0.82347333,"[[  0 167   0   6   1]
 [  0  46   0   0   0]
 [  0  73   2  12   5]
 [  0  20   2  31  15]
 [  0   5   0   6   9]]"
1.1596186248461406,0.09560429602861405,0.2604779,0.62155414,0.4125,0.33928093,0.85189664,"[[  6 196   5  15  15]
 [  1 222  11  16   9]
 [  2 139  20  36  32]
 [  2  44  15 117  96]
 [  2  21   2  46 130]]",0.20423633,0.66811764,0.3125,0.3282711,0.84362364,"[[ 14 152   0   7   1]
 [  0  46   0   0   0]
 [  0  55   6  26   5]
 [  0   7   2  48  11]
 [  0   2   0   7  11]]"
0.7342489377657573,0.09017728477716445,0.4401803,0.8100644,0.55083334,0.536962,0.88858527,"[[134 120   7   5   3]
 [ 37 158  10   4   3]
 [ 17  88  52  56  12]
 [  3  19  28 145  51]
 [  1   7   5  63 172]]",0.46044064,0.79467654,0.595,0.5381179,0.89901626,"[[116  47  10   1   0]
 [ 13  30   3   0   0]
 [  8  23  40  17   4]
 [  1   2  11  43  11]
 [  0   3   0   8   9]]"
0.5639405210812887,0.08863615587353707,0.5815928,0.8731962,0.66583335,0.6560112,0.9164406,"[[163  82  11   6   2]
 [ 30 191  21   2   0]
 [  9  63  80  61   4]
 [  2   5  20 175  37]
 [  0   2   4  40 190]]",0.45435327,0.8140414,0.6,0.51457536,0.8973345,"[[130  40   4   0   0]
 [ 21  24   1   0   0]
 [  9  29  34  18   2]
 [  1   2  12  46   7]
 [  0   2   3   9   6]]"
0.5307581798235576,0.08802468344569206,0.65754795,0.86429787,0.72583336,0.7250473,0.9316111,"[[150  63  15   3   4]
 [ 15 192  19   2   0]
 [ 10  55 142  39   6]
 [  3   8  36 170  20]
 [  2   3   6  20 217]]",0.5112744,0.8111231,0.6375,0.5779046,0.9087752,"[[125  44   4   0   1]
 [ 12  30   4   0   0]
 [  6  24  47  13   2]
 [  3   1  12  44   8]
 [  1   0   3   7   9]]"
0.4183582524458567,0.08853970050811767,0.71551335,0.89905536,0.7725,0.7733988,0.9430134,"[[143  68  13   4   2]
 [  9 206  19   0   0]
 [  9  45 175  25   6]
 [  1   1  30 199  17]
 [  0   2   1  21 204]]",0.4656608,0.7987072,0.6175,0.53996354,0.8972671,"[[138  34   1   1   0]
 [ 28  17   1   0   0]
 [ 12  30  41   8   1]
 [  4   1  13  43   7]
 [  1   0   4   7   8]]"
0.38623166153828303,0.08983417451381684,0.71398604,0.90774256,0.77166665,0.77128506,0.9427171,"[[156  52   7   0   2]
 [ 23 207  23   0   1]
 [  5  53 149  32   1]
 [  1   5  31 186  13]
 [  2   2   3  18 228]]",0.5001215,0.7852777,0.64,0.5249969,0.90447277,"[[130  35   8   1   0]
 [ 20  20   6   0   0]
 [ 10  13  58   9   2]
 [  2   2  15  45   4]
 [  2   0   3  12   3]]"
0.33341937998930615,0.09583013653755187,0.77077985,0.92969656,0.81666666,0.8178022,0.9540906,"[[174  46  15   1   0]
 [ 18 207  12   0   0]
 [  6  25 185  33   3]
 [  1   2  42 186   5]
 [  0   1   1   9 228]]",0.39750737,0.7245325,0.5625,0.45078325,0.88675535,"[[126  39   8   0   1]
 [ 18  24   4   0   0]
 [  7  30  52   2   1]
 [  3   4  40  20   1]
 [  0   1  10   6   3]]"
0.30118347654740013,0.09339317828416824,0.7926252,0.9269509,0.83416665,0.8349643,0.9584588,"[[188  38   9   0   2]
 [ 22 208  19   1   0]
 [  6  25 185  27   0]
 [  2   1  22 195  11]
 [  2   2   1   9 225]]",0.4895997,0.7899998,0.635,0.5395987,0.90163493,"[[132  30  12   0   0]
 [ 25  14   7   0   0]
 [  9  10  59  12   2]
 [  4   0  14  42   8]
 [  1   1   3   8   7]]"
0.3106912691394488,0.09420737951993942,0.82508594,0.9274707,0.86,0.86076885,0.9650792,"[[196  44   8   3   3]
 [ 17 200   8   3   0]
 [  8  20 199  16   2]
 [  1   1  20 212   2]
 [  1   2   1   8 225]]",0.47175294,0.78802764,0.6275,0.5118097,0.89792836,"[[144  23   5   2   0]
 [ 27  14   5   0   0]
 [ 15  17  39  18   3]
 [  4   2  11  49   2]
 [  1   0   0  14   5]]"
0.271762114862601,0.0926493938267231,0.847745,0.9368496,0.87833333,0.87920874,0.9694303,"[[190  35   4   2   3]
 [ 18 231  15   0   0]
 [  4  15 207   9   2]
 [  3   0   8 207  11]
 [  1   1   4  11 219]]",0.5276319,0.7857521,0.655,0.562647,0.9115265,"[[127  33  13   0   1]
 [ 13  22  11   0   0]
 [  5  13  60  12   2]
 [  1   3  13  48   3]
 [  1   1   6   7   5]]"
0.24361971547206243,0.09310215204954148,0.8499174,0.95475036,0.88,0.8795719,0.9700366,"[[217  18   7   1   0]
 [ 17 200  19   0   0]
 [  6  14 210  14   4]
 [  1   0  15 193   9]
 [  0   0   3  16 236]]",0.5295292,0.796663,0.67,0.55469644,0.90777826,"[[144  15  10   3   2]
 [ 30   8   6   1   1]
 [ 15   4  48  24   1]
 [  0   2   5  61   0]
 [  0   0   2  11   7]]"
0.25449300040801365,0.09304125666618347,0.8478225,0.94970363,0.87833333,0.8806922,0.9694284,"[[197  34   8   0   1]
 [ 20 212   9   1   1]
 [  7  16 211  23   0]
 [  1   1  16 222   3]
 [  0   0   1   4 212]]",0.48911363,0.79592997,0.6275,0.5652322,0.9034257,"[[128  38   8   0   0]
 [ 16  26   4   0   0]
 [  8  22  50  10   2]
 [  2   1  24  40   1]
 [  0   1   7   5   7]]"
0.25194258670012154,0.08979221433401108,0.8437055,0.9499286,0.875,0.8752595,0.96869063,"[[194  38   6   3   0]
 [ 22 215  12   0   1]
 [  5  14 199  20   0]
 [  3   0  16 206   7]
 [  0   0   0   3 236]]",0.5414335,0.83154905,0.665,0.5875896,0.91420615,"[[129  35  10   0   0]
 [ 14  25   7   0   0]
 [  5  15  58  13   1]
 [  0   1  17  48   2]
 [  0   1   6   7   6]]"
0.29929213265577953,0.09403673827648162,0.8468356,0.9335299,0.8775,0.8784983,0.9693227,"[[198  26   9   3   2]
 [ 12 220   7   1   2]
 [  4  28 206  18   0]
 [  1   1  17 201   6]
 [  1   3   1   5 228]]",0.4189164,0.79223543,0.58,0.48725334,0.8893487,"[[138  32   4   0   0]
 [ 26  19   1   0   0]
 [ 12  31  24  20   5]
 [  6   0   8  42  12]
 [  0   1   2   8   9]]"
0.27322651103138923,0.09240558326244354,0.8498386,0.942338,0.88,0.878574,0.97019374,"[[228  39   7   2   2]
 [ 20 183   6   1   1]
 [  4   8 191  16   4]
 [  1   2  12 212   7]
 [  0   3   3   6 242]]",0.5256417,0.790285,0.6625,0.55833125,0.90915996,"[[143  23   8   0   0]
 [ 20  21   5   0   0]
 [ 11  19  50  11   1]
 [  4   2  12  46   4]
 [  1   1   5   8   5]]"
0.2481716588139534,0.0910903975367546,0.8685062,0.9458794,0.895,0.89352417,0.97378427,"[[188  19   7   1   1]
 [  9 230  11   2   2]
 [  2  10 203  19   2]
 [  2   1  13 199   9]
 [  2   0   2  12 254]]",0.51248616,0.83776766,0.6425,0.57421404,0.9078622,"[[127  39   7   1   0]
 [ 21  24   1   0   0]
 [  6  23  41  22   0]
 [  0   2   7  59   0]
 [  0   1   2  11   6]]"
0.2519893094400565,0.0960000491142273,0.8591963,0.94864225,0.8875,0.88689464,0.9718306,"[[222  22   4   5   1]
 [ 24 186   7   0   0]
 [  5  10 195  23   1]
 [  1   1  10 240   5]
 [  0   2   1  13 222]]",0.51316583,0.791162,0.6575,0.5487163,0.90551424,"[[144  24   6   0   0]
 [ 27  14   5   0   0]
 [ 11  10  49  21   1]
 [  2   2  13  51   0]
 [  3   1   3   8   5]]"
