Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
1.96843301932017,0.11875435054302215,0.028353035,0.064977586,0.34083334,0.1928246,0.8068196,"[[341  17  84  33  65]
 [ 70   3  31  12  24]
 [131   2  33  20  48]
 [129  10  20  20  35]
 [ 39   3  10   8  12]]",0.1705969,0.27235228,0.49,0.2584386,0.8324015,"[[164   2   4   3   1]
 [ 41   1   3   0   1]
 [ 63   1  20   5   3]
 [ 39   1  11  10   7]
 [ 16   0   0   3   1]]"
1.563761469523112,0.10348212867975234,0.16556048,0.35424328,0.4875,0.25199193,0.83308434,"[[498   2  29   7   4]
 [117   0  16   5   2]
 [162   1  37  28   6]
 [112   1  45  45  11]
 [ 32   0  13  22   5]]",0.35969144,0.6438703,0.585,0.32806283,0.870621,"[[167   0   2   3   2]
 [ 39   0   6   1   0]
 [ 50   0  16  24   2]
 [ 11   0   5  51   1]
 [  3   0   1  16   0]]"
1.0990373110771179,0.09441612452268601,0.33849108,0.6480156,0.56416667,0.3433859,0.8693321,"[[475   0  26  38   1]
 [110   0  18  11   1]
 [102   0  52  76   4]
 [ 29   0  32 143  10]
 [  5   0   6  54   7]]",0.39308262,0.71691394,0.5975,0.33474398,0.8789505,"[[162   0   7   5   0]
 [ 41   0   4   1   0]
 [ 33   0  17  42   0]
 [  6   0   2  60   0]
 [  3   0   0  17   0]]"
0.8551397824287414,0.08931556820869446,0.434066,0.73345804,0.6225,0.36809456,0.88879544,"[[484   0  32  24   0]
 [ 97   1  33   9   0]
 [ 77   0  76  81   0]
 [  9   0  19 186   0]
 [  6   0   7  59   0]]",0.45945942,0.7872533,0.64,0.38269442,0.89206475,"[[164   0   8   2   0]
 [ 42   0   4   0   0]
 [ 25   0  33  34   0]
 [  5   0   4  59   0]
 [  0   0   2  18   0]]"
0.7279591548442841,0.08774742186069488,0.4633274,0.7734971,0.63916665,0.39701313,0.89520955,"[[486  11  25  18   0]
 [101   5  24  10   0]
 [ 58  10  93  73   0]
 [  7   0  24 183   0]
 [  3   1   8  60   0]]",0.51102054,0.8128183,0.67,0.45043403,0.9027387,"[[162   5   5   2   0]
 [ 39   6   1   0   0]
 [ 18   4  45  25   0]
 [  4   0   9  55   0]
 [  0   0   3  17   0]]"
0.6456438839435578,0.08635002017021179,0.4938768,0.80465454,0.64916664,0.45806015,0.90283614,"[[457  43  28  12   0]
 [ 86  34  16   4   0]
 [ 32  28 102  72   0]
 [  4   2  23 185   0]
 [  3   2   6  60   1]]",0.5240494,0.82830966,0.6575,0.49353662,0.9099551,"[[138  28   6   2   0]
 [ 20  24   2   0   0]
 [  8  18  42  24   0]
 [  2   1   6  59   0]
 [  0   0   3  17   0]]"
0.6167694660027822,0.08755181953310967,0.526559,0.81624603,0.6716667,0.49868363,0.9097958,"[[471  37  21  11   0]
 [ 73  39  27   1   0]
 [ 25  19 119  71   0]
 [  6   2  32 172   2]
 [  4   2   7  54   5]]",0.5306678,0.8042059,0.6725,0.50394285,0.9087386,"[[147   9  16   2   0]
 [ 25  13   8   0   0]
 [ 13   7  49  23   0]
 [  2   0   7  59   0]
 [  0   0   4  15   1]]"
0.5049327945709229,0.08994593411684036,0.585304,0.86292255,0.7083333,0.59341776,0.92189044,"[[473  46  15   5   1]
 [ 60  56  21   3   0]
 [ 18  33 129  54   0]
 [  2   2  30 171   9]
 [  2   0   6  43  21]]",0.5404087,0.79591525,0.675,0.5833478,0.9112515,"[[144  15  14   0   1]
 [ 24  16   6   0   0]
 [  7  17  52  15   1]
 [  4   0  12  51   1]
 [  1   0   4   8   7]]"
0.4771821230649948,0.0891470929980278,0.60147583,0.8752217,0.7191667,0.6210727,0.9253463,"[[479  39  16   6   0]
 [ 56  53  28   3   0]
 [ 16  41 130  47   0]
 [  1   0  31 170  12]
 [  1   1   5  34  31]]",0.46487844,0.8138263,0.605,0.5291521,0.89948404,"[[127  32  15   0   0]
 [ 18  24   4   0   0]
 [  5  27  26  32   2]
 [  1   1   3  57   6]
 [  1   0   2   9   8]]"
0.40965014944473904,0.08753743499517441,0.66151273,0.8956859,0.7608333,0.6901291,0.93583125,"[[480  47   9   4   0]
 [ 52  71  16   0   1]
 [ 16  25 148  43   2]
 [  1   2  29 175   7]
 [  1   0   4  28  39]]",0.5044248,0.78740776,0.65,0.5290079,0.9051999,"[[146  18   7   1   2]
 [ 28  10   6   1   1]
 [  7  19  48  16   2]
 [  2   0  14  50   2]
 [  2   0   2  10   6]]"
0.35372012664874397,0.08943987876176834,0.7079872,0.90856564,0.7916667,0.7326864,0.9457696,"[[478  47  13   1   1]
 [ 33  86  21   0   0]
 [ 10  27 170  26   1]
 [  2   2  28 173   9]
 [  1   0   2  26  43]]",0.5373008,0.78880924,0.665,0.58792925,0.91155976,"[[128  30  15   1   0]
 [ 19  22   5   0   0]
 [  4  13  60  14   1]
 [  4   1  12  50   1]
 [  1   1   3   9   6]]"
0.34866335372130075,0.09176853105425835,0.7360709,0.90582025,0.8125,0.7679966,0.9499073,"[[482  40  13   4   1]
 [ 40  83  17   0   0]
 [  6  17 173  36   2]
 [  5   0  19 187   3]
 [  1   1   3  17  50]]",0.5378673,0.7811655,0.665,0.58981925,0.9118411,"[[132  24  13   2   3]
 [ 17  25   2   2   0]
 [ 11  11  51  15   4]
 [  0   0  15  50   3]
 [  0   0   4   8   8]]"
0.31435348361730575,0.09598349064588546,0.74519587,0.92632043,0.82,0.7696756,0.9515223,"[[496  33   8   2   1]
 [ 42  82  16   0   0]
 [ 10  16 177  31   0]
 [  1   0  27 180   6]
 [  0   0   3  20  49]]",0.5376675,0.783794,0.6775,0.5863402,0.90912867,"[[148  14  10   1   1]
 [ 27  12   6   1   0]
 [ 12   5  57  16   2]
 [  5   0  15  44   4]
 [  1   0   5   4  10]]"
0.36722529321908953,0.0920320600271225,0.74896526,0.91178954,0.82166666,0.77641135,0.9527123,"[[489  29  16   5   1]
 [ 37  94   8   0   1]
 [  8  13 168  44   1]
 [  0   2  21 187   4]
 [  0   2   3  19  48]]",0.5193151,0.7908281,0.6575,0.5425516,0.9071853,"[[134  27  12   0   1]
 [ 22  21   3   0   0]
 [ 11   9  59  13   0]
 [  2   0  18  46   2]
 [  0   0   9   8   3]]"
0.3320668441057205,0.0909429755806923,0.76294416,0.91062677,0.8308333,0.78690135,0.9553172,"[[481  45   8   4   2]
 [ 33  96  10   0   1]
 [  8  14 187  24   1]
 [  3   0  20 183   8]
 [  1   2   2  17  50]]",0.51647127,0.81119823,0.6525,0.55870116,0.90882754,"[[138  23  11   1   1]
 [ 20  14  11   1   0]
 [  7  13  54  15   3]
 [  0   1  16  47   4]
 [  0   2   2   8   8]]"
0.317826172063748,0.09283922344446183,0.77083457,0.9225311,0.8383333,0.7843628,0.95648986,"[[504  22   6   6   2]
 [ 41  81  17   0   1]
 [  5  12 194  22   1]
 [  1   1  28 177   7]
 [  0   0   3  19  50]]",0.5573997,0.8151413,0.68,0.61320674,0.9150574,"[[135  30   7   0   2]
 [ 18  20   8   0   0]
 [ 10   7  50  22   3]
 [  3   0   4  56   5]
 [  1   0   1   7  11]]"
0.378739106853803,0.09314741164445878,0.74380416,0.9103758,0.81916666,0.7642609,0.95139384,"[[496  24  14   5   1]
 [ 36  80  22   1   1]
 [ 13  15 173  33   0]
 [  1   0  21 189   3]
 [  0   0   5  22  45]]",0.49605012,0.8143072,0.63,0.5806103,0.9041024,"[[120  40  14   0   0]
 [ 16  16  14   0   0]
 [  7   8  59  17   1]
 [  4   1   9  44  10]
 [  0   0   1   6  13]]"
0.31115552216768266,0.0924947464466095,0.7445048,0.9304651,0.8183333,0.77422404,0.952019,"[[490  40   9   1   0]
 [ 37  90  13   0   0]
 [  8  15 168  39   4]
 [  1   1  25 181   6]
 [  0   0   1  18  53]]",0.5291637,0.808151,0.665,0.5914389,0.9086876,"[[138  23  12   0   1]
 [ 24  14   8   0   0]
 [ 10   7  60  15   0]
 [  3   0  14  42   9]
 [  1   0   3   4  12]]"
0.34394697527090706,0.08806661486625672,0.7729866,0.9112431,0.83916664,0.7951438,0.95670676,"[[493  28  15   2   2]
 [ 34  87  18   1   0]
 [  9  13 188  23   1]
 [  2   0  19 188   5]
 [  2   1   4  14  51]]",0.5265366,0.8274514,0.66,0.5928159,0.9090543,"[[138  30   3   3   0]
 [ 23  21   2   0   0]
 [ 10  13  46  23   0]
 [  3   0  11  50   4]
 [  0   1   1   9   9]]"
