Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
1.9537581157684327,0.12053800463676452,0.009440839,0.037834346,0.31916666,0.18355265,0.80185765,"[[312 141  27  35  25]
 [ 75  42   8  10   5]
 [134  44   9  24  23]
 [120  56  11  17  10]
 [ 44  10   5  10   3]]",0.07543236,0.32794946,0.3225,0.22307822,0.81724,"[[94 71  1  4  4]
 [26 14  2  4  0]
 [40 39  0 11  2]
 [17 22  2 19  8]
 [ 7  4  0  7  2]]"
1.6776092418034871,0.10632284462451935,0.11183208,0.23044819,0.4525,0.23030478,0.82146704,"[[467  40   8  22   3]
 [111  17   5   6   1]
 [181  17   7  28   1]
 [134  17   6  51   6]
 [ 39   6   3  23   1]]",0.30944067,0.6476364,0.5325,0.26822615,0.8656589,"[[156   3   0  15   0]
 [ 34   2   1   9   0]
 [ 33   9   0  49   1]
 [ 11   0   0  55   2]
 [  1   0   0  19   0]]"
1.222657543818156,0.09699903547763825,0.28244728,0.58529437,0.525,0.26906732,0.85912955,"[[457  10   8  64   1]
 [108   6   2  24   0]
 [100   5   2 127   0]
 [ 38   5   5 164   2]
 [  9   0   0  62   1]]",0.33731192,0.6813215,0.56,0.27427483,0.8683671,"[[160   0   1  13   0]
 [ 41   0   0   5   0]
 [ 44   4   1  43   0]
 [  5   0   0  63   0]
 [  1   0   0  19   0]]"
0.97786514600118,0.08960396081209182,0.35495186,0.67681956,0.56583333,0.32121766,0.8742035,"[[461  21  14  44   0]
 [ 98  14   7  21   0]
 [ 81  20  17 116   0]
 [ 23   2   2 187   0]
 [  4   1   1  66   0]]",0.43986416,0.79757524,0.6,0.4081337,0.8942348,"[[144  19   8   3   0]
 [ 25  17   3   1   0]
 [  9  23  17  43   0]
 [  3   2   1  62   0]
 [  0   1   1  18   0]]"
0.8876035070419311,0.09385520696640015,0.37799662,0.709188,0.56666666,0.3683489,0.88055235,"[[430  63  17  30   0]
 [ 81  40  10   9   0]
 [ 54  54  33  93   0]
 [ 17  11   9 177   0]
 [  4   1   4  63   0]]",0.41334224,0.7369095,0.5625,0.4164983,0.8902891,"[[112  28  19  15   0]
 [ 12  22   9   3   0]
 [  3   7  24  58   0]
 [  0   0   1  67   0]
 [  0   0   0  20   0]]"
0.7867881063620249,0.08659062907099724,0.43192852,0.75691444,0.6016667,0.40948775,0.8919997,"[[438  56  25  21   0]
 [ 75  45  11   9   0]
 [ 40  50  55  89   0]
 [  9   9  12 184   0]
 [  1   5   4  62   0]]",0.49732846,0.82253444,0.6425,0.46805373,0.9032911,"[[139  24   8   3   0]
 [ 27  17   2   0   0]
 [ 12  11  37  32   0]
 [  1   1   2  64   0]
 [  0   0   1  19   0]]"
0.6505938057104746,0.09155759155750275,0.5028596,0.8077148,0.64916664,0.4685163,0.90647435,"[[446  63  15  16   0]
 [ 62  56  18   4   0]
 [ 26  45  98  65   0]
 [  4   3  28 179   0]
 [  2   1  10  59   0]]",0.46062934,0.8022344,0.6075,0.44018573,0.89883804,"[[125  23  24   2   0]
 [ 15  14  17   0   0]
 [  4   6  38  44   0]
 [  1   0   1  66   0]
 [  0   0   1  19   0]]"
0.6194108740488689,0.08609118908643723,0.5394981,0.82896554,0.6725,0.49736822,0.9139951,"[[440  58  30  12   0]
 [ 55  64  17   4   0]
 [ 16  41 115  62   0]
 [  3   1  22 188   0]
 [  0   2   7  63   0]]",0.522871,0.81112885,0.655,0.49558908,0.90935653,"[[129  28  15   2   0]
 [ 18  21   7   0   0]
 [  6   9  50  27   0]
 [  3   0   3  62   0]
 [  0   0   2  18   0]]"
0.5091589850187301,0.0881485915184021,0.57751995,0.86402404,0.7033333,0.5178158,0.921313,"[[475  49  12   4   0]
 [ 58  62  18   2   0]
 [ 10  34 134  56   0]
 [  4   4  33 173   0]
 [  2   0   7  63   0]]",0.5302531,0.81121206,0.665,0.5000517,0.9109061,"[[143  26   4   1   0]
 [ 19  25   2   0   0]
 [  9  20  49  14   0]
 [  4   1  14  49   0]
 [  0   1   4  15   0]]"
0.46436872919400535,0.0924461144208908,0.6224587,0.8704192,0.7316667,0.5871255,0.9300576,"[[465  59  11   5   0]
 [ 41  80  18   1   0]
 [ 13  38 144  38   1]
 [  4   4  19 182   5]
 [  2   1   3  59   7]]",0.46687794,0.78488666,0.63,0.4351134,0.8964479,"[[151  16   4   3   0]
 [ 31  11   4   0   0]
 [ 18  12  32  30   0]
 [  4   1   4  58   1]
 [  0   2   2  16   0]]"
