Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0231199995676676,0.1260369798541069,-0.0033236742,0.0117458105,0.32833335,0.16833359,0.7998373,"[[327 110  93   6   4]
 [ 85  24  27   1   3]
 [133  53  42   2   4]
 [134  36  39   1   4]
 [ 41  16  14   1   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9825164190928142,0.12372017621994019,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.792492955525716,0.11595079392194747,0.10941017,0.21605188,0.48416665,0.19841361,0.8194376,"[[522   0   0  18   0]
 [132   0   0   8   0]
 [214   0   0  20   0]
 [155   0   0  59   0]
 [ 48   0   0  24   0]]",0.19299775,0.37627888,0.5125,0.24227504,0.83421475,"[[170   0   0   4   0]
 [ 46   0   0   0   0]
 [ 82   0   0  10   0]
 [ 33   0   0  35   0]
 [ 10   0   0  10   0]]"
1.3132076454162598,0.10788089841604233,0.31675768,0.62558997,0.5625,0.2629807,0.86345196,"[[501   0   0  39   0]
 [119   0   0  21   0]
 [132   0   0 102   0]
 [ 40   0   0 174   0]
 [  9   0   0  63   0]]",0.25155097,0.5185008,0.5325,0.25276703,0.8472278,"[[168   0   0   6   0]
 [ 45   0   0   1   0]
 [ 69   0   0  23   0]
 [ 23   0   0  45   0]
 [  5   0   0  15   0]]"
1.049252024491628,0.10207958042621612,0.35491365,0.683643,0.5758333,0.27083853,0.87351036,"[[493   0   0  47   0]
 [111   0   0  29   0]
 [ 97   0   0 137   0]
 [ 16   0   0 198   0]
 [  8   0   0  64   0]]",0.3160298,0.6305376,0.5675,0.2861175,0.8607005,"[[173   0   0   1   0]
 [ 46   0   0   0   0]
 [ 57   0   5  30   0]
 [ 18   0   1  49   0]
 [  3   0   0  17   0]]"
0.9053817029794057,0.10602939337491989,0.37146872,0.7260723,0.585,0.28791547,0.8768143,"[[491   0   4  45   0]
 [123   0   2  15   0]
 [ 84   0   8 142   0]
 [ 11   0   0 203   0]
 [  3   0   1  68   0]]",0.2812544,0.52603996,0.5525,0.28371224,0.8524715,"[[171   0   2   1   0]
 [ 46   0   0   0   0]
 [ 63   0   6  23   0]
 [ 24   0   0  44   0]
 [  7   0   1  12   0]]"
0.823966748714447,0.10813505947589874,0.3840834,0.7466256,0.5883333,0.31298822,0.88100266,"[[489   7  11  33   0]
 [110   2   8  20   0]
 [ 66   5  23 140   0]
 [  9   0  13 192   0]
 [  3   1   2  66   0]]",0.24760878,0.499852,0.53,0.2833057,0.8486526,"[[169   2   3   0   0]
 [ 45   0   1   0   0]
 [ 59   4  22   7   0]
 [ 21   4  22  21   0]
 [  6   0   5   9   0]]"
0.7010465367635091,0.10093234151601792,0.44505966,0.80261505,0.62416667,0.38590378,0.8930938,"[[487  16  24  13   0]
 [100  17  16   7   0]
 [ 51  22  49 112   0]
 [  5   1  12 196   0]
 [  1   0   7  64   0]]",0.3433538,0.6652669,0.5675,0.3481484,0.8697035,"[[160   7   7   0   0]
 [ 42   2   2   0   0]
 [ 36  13  29  14   0]
 [ 11   3  18  36   0]
 [  1   1   6  12   0]]"
0.6790654595692952,0.09528852254152298,0.4770131,0.8229941,0.6358333,0.43069875,0.9018159,"[[469  36  23  12   0]
 [ 77  40  15   8   0]
 [ 26  34  68 106   0]
 [  1   8  19 186   0]
 [  0   2   4  66   0]]",0.40986174,0.75364244,0.585,0.39829418,0.88731265,"[[140  16  17   1   0]
 [ 24   8  14   0   0]
 [ 12  14  35  31   0]
 [  6   1  10  51   0]
 [  0   1   2  17   0]]"
0.6461144586404165,0.10405020087957383,0.48530096,0.82573724,0.63916665,0.44786102,0.9030106,"[[454  55  22   9   0]
 [ 72  46  15   7   0]
 [ 28  37  84  85   0]
 [  3   8  20 183   0]
 [  0   0   4  68   0]]",0.3668338,0.6435528,0.5675,0.36940837,0.8772087,"[[157  15   2   0   0]
 [ 33  10   3   0   0]
 [ 21  29  20  22   0]
 [ 13   9   6  40   0]
 [  4   3   2  11   0]]"
0.5275283376375834,0.09625189244747162,0.55389535,0.86978257,0.69,0.48227942,0.91673934,"[[486  36  17   1   0]
 [ 70  34  33   3   0]
 [ 12  27 130  65   0]
 [  2   4  30 178   0]
 [  0   2   7  63   0]]",0.4227941,0.7610127,0.6075,0.39439353,0.8883814,"[[159  10   5   0   0]
 [ 36   4   5   1   0]
 [ 19  19  37  17   0]
 [  4   3  18  43   0]
 [  0   2   7  11   0]]"
0.5027989057699839,0.09152483820915222,0.57731295,0.8751284,0.7075,0.506019,0.920645,"[[497  32  10   1   0]
 [ 67  46  23   4   0]
 [ 15  18 130  71   0]
 [  4   3  31 176   0]
 [  0   1   9  62   0]]",0.46304828,0.78642803,0.63,0.42715648,0.89604974,"[[148   9  16   1   0]
 [ 33   6   7   0   0]
 [ 12  11  54  15   0]
 [  2   1  21  44   0]
 [  0   0   5  15   0]]"
0.5004436335961024,0.09692137628793716,0.58203757,0.8656443,0.70916665,0.51238835,0.92180073,"[[490  36   9   5   0]
 [ 61  45  31   3   0]
 [ 15  37 127  55   0]
 [  4   1  21 188   0]
 [  2   2   3  64   1]]",0.44062877,0.73404026,0.605,0.43284023,0.89391935,"[[140  22  12   0   0]
 [ 21  17   8   0   0]
 [  9  19  54  10   0]
 [  5   5  27  31   0]
 [  1   1   6  12   0]]"
0.4842745937903722,0.09635366022586822,0.589887,0.8684282,0.71416664,0.52870786,0.9236475,"[[492  38   6   3   1]
 [ 55  53  30   2   0]
 [ 13  23 139  59   0]
 [  4   0  36 171   3]
 [  2   1  10  57   2]]",0.4164055,0.7735149,0.595,0.40191585,0.88783354,"[[150  17   5   2   0]
 [ 33   9   4   0   0]
 [ 19  17  32  24   0]
 [  1   6  14  47   0]
 [  0   2   2  16   0]]"
0.45337396204471586,0.1018211242556572,0.6244734,0.8881702,0.7366667,0.55233085,0.93072647,"[[491  40   8   1   0]
 [ 43  66  28   3   0]
 [ 10  22 146  56   0]
 [  4   2  28 180   0]
 [  1   1   4  65   1]]",0.40100312,0.7208465,0.585,0.40082034,0.8854047,"[[150  16   7   1   0]
 [ 32  10   4   0   0]
 [ 16  28  40   8   0]
 [  4   7  23  34   0]
 [  0   3   7  10   0]]"
