Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.018016037940979,0.12527162224054336,0.006865561,-0.00985074,0.41916665,0.16974261,0.8006594,"[[470   8   7  54   1]
 [117   5   2  16   0]
 [213   1   2  18   0]
 [185   2   2  25   0]
 [ 65   1   0   5   1]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9410183763504028,0.12022689163684845,0.00041145086,0.00103724,0.45,0.12420932,0.8001002,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [233   0   0   1   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.025696099,0.05758536,0.445,0.14408465,0.80438745,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 91   0   0   1   0]
 [ 64   0   0   4   0]
 [ 18   0   0   2   0]]"
1.622319105466207,0.11058703541755677,0.22757769,0.43222964,0.5325,0.24357355,0.8424237,"[[519   0   0  21   0]
 [129   0   0  11   0]
 [182   0   0  52   0]
 [ 94   0   0 120   0]
 [ 32   0   0  40   0]]",0.29402632,0.586887,0.545,0.25938702,0.85758615,"[[164   0   0  10   0]
 [ 43   0   0   3   0]
 [ 54   0   0  38   0]
 [ 14   0   0  54   0]
 [  5   0   0  15   0]]"
1.2278166135152182,0.10207793176174164,0.31530523,0.6172489,0.5625,0.2612652,0.86345196,"[[507   0   0  33   0]
 [124   0   0  16   0]
 [114   0   0 120   0]
 [ 46   0   0 168   0]
 [ 16   0   0  56   0]]",0.31029195,0.6465033,0.55,0.25822625,0.8627466,"[[166   0   0   8   0]
 [ 45   0   0   1   0]
 [ 39   0   0  53   0]
 [ 14   0   0  54   0]
 [  4   0   0  16   0]]"
0.9371522649129231,0.09573988318443298,0.3740883,0.73749644,0.59,0.27641228,0.87766004,"[[511   0   0  29   0]
 [127   0   0  13   0]
 [ 72   0   0 162   0]
 [ 17   0   0 197   0]
 [  9   0   0  63   0]]",0.36847216,0.7759165,0.5775,0.27396962,0.87671924,"[[167   0   0   7   0]
 [ 44   0   0   2   0]
 [ 28   0   0  64   0]
 [  4   0   0  64   0]
 [  0   0   0  20   0]]"
0.7968142938613891,0.09363214045763016,0.4026004,0.78017604,0.60333335,0.28670144,0.88478345,"[[510   0   2  28   0]
 [115   0   4  21   0]
 [ 65   0   1 168   0]
 [  0   0   1 213   0]
 [  6   0   0  66   0]]",0.38524973,0.7757205,0.59,0.2934277,0.8796843,"[[169   0   1   4   0]
 [ 45   0   0   1   0]
 [ 24   0   4  64   0]
 [  5   0   0  63   0]
 [  2   0   0  18   0]]"
0.7373381344477336,0.09326342701911926,0.41332394,0.7924684,0.61083335,0.31518573,0.8861594,"[[507   1  12  20   0]
 [119   0   8  13   0]
 [ 62   0  20 152   0]
 [  7   0   1 206   0]
 [  2   0   1  69   0]]",0.39205325,0.77098316,0.58,0.33605033,0.8837181,"[[153   2  12   7   0]
 [ 36   2   5   3   0]
 [ 12   2  15  63   0]
 [  2   2   2  62   0]
 [  1   0   0  19   0]]"
0.6923673987388611,0.08917501449584961,0.4374985,0.81116784,0.62083334,0.364156,0.8920822,"[[497  10  16  17   0]
 [109  11  15   5   0]
 [ 42   9  39 144   0]
 [  4   2  10 198   0]
 [  2   0   5  65   0]]",0.4287715,0.799662,0.6125,0.3687898,0.8880992,"[[161   6   5   2   0]
 [ 40   4   2   0   0]
 [ 22   5  16  49   0]
 [  3   1   0  64   0]
 [  1   0   0  19   0]]"
0.6390498820940653,0.09136447787284852,0.49441648,0.8295741,0.6533333,0.4326381,0.90375286,"[[488  25  16  11   0]
 [ 92  27  16   5   0]
 [ 26  31  76 101   0]
 [  7   3  11 193   0]
 [  0   2   6  64   0]]",0.47234225,0.79561526,0.6275,0.44517788,0.89887273,"[[140  15  17   2   0]
 [ 26  12   8   0   0]
 [ 10   4  41  37   0]
 [  1   3   6  58   0]
 [  1   0   0  19   0]]"
0.5925876319408416,0.08771000623703003,0.52505577,0.8489531,0.67083335,0.4666521,0.91006243,"[[477  38  19   6   0]
 [ 84  37  17   2   0]
 [ 17  28 100  89   0]
 [  3   2  18 191   0]
 [  1   1  11  59   0]]",0.5007632,0.8329934,0.6525,0.45478848,0.90334797,"[[151  15   7   1   0]
 [ 34  10   2   0   0]
 [ 11  16  39  26   0]
 [  2   0   5  61   0]
 [  0   0   3  17   0]]"
