Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0178366740544638,0.12541746824979783,0.011471093,0.02114278,0.3775,0.16632092,0.80235296,"[[424  53   8   3  52]
 [107  11   3   1  18]
 [178  23   5   2  26]
 [167  22   4   2  19]
 [ 52   8   1   0  11]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9390194574991861,0.12015441507101059,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.014626682,0.0424785,0.44,0.13327877,0.80261755,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 91   0   0   1   0]
 [ 66   0   0   2   0]
 [ 18   0   0   2   0]]"
1.5787026516596476,0.10921961516141891,0.22930741,0.45732456,0.5325,0.24337076,0.8429246,"[[518   0   0  22   0]
 [129   0   0  11   0]
 [186   0   0  48   0]
 [ 93   0   0 121   0]
 [ 24   0   0  48   0]]",0.3294505,0.66233146,0.5625,0.26932126,0.8654761,"[[165   0   0   9   0]
 [ 45   0   0   1   0]
 [ 46   0   0  46   0]
 [  8   0   0  60   0]
 [  4   0   0  16   0]]"
1.1479691648483277,0.10288376152515412,0.34766233,0.68370557,0.57416666,0.2704212,0.87110084,"[[494   0   0  46   0]
 [118   0   0  22   0]
 [110   0   0 124   0]
 [ 19   0   0 195   0]
 [  5   0   0  67   0]]",0.31547838,0.64969885,0.5425,0.25655332,0.8654601,"[[158   0   0  16   0]
 [ 43   0   0   3   0]
 [ 30   0   0  62   0]
 [  9   0   0  59   0]
 [  4   0   0  16   0]]"
0.9512030434608459,0.10043876886367797,0.3677461,0.70990574,0.58666664,0.28394526,0.8758215,"[[506   0   1  33   0]
 [120   0   5  15   0]
 [ 84   0   6 144   0]
 [ 22   0   0 192   0]
 [  9   0   0  63   0]]",0.33606368,0.7029854,0.54,0.26701954,0.873288,"[[150   0   4  20   0]
 [ 35   0   1  10   0]
 [ 17   0   2  73   0]
 [  2   0   2  64   0]
 [  1   0   0  19   0]]"
0.8259829012552897,0.09600960284471512,0.40394855,0.76658875,0.605,0.30888847,0.8847464,"[[510   0   5  25   0]
 [113   0   4  23   0]
 [ 61   0  19 154   0]
 [ 13   0   4 197   0]
 [  3   0   4  65   0]]",0.34068352,0.72683454,0.55,0.29651952,0.872169,"[[150   0  16   8   0]
 [ 37   0   8   1   0]
 [ 22   0  10  60   0]
 [  4   0   4  60   0]
 [  1   0   0  19   0]]"
0.7282440892855326,0.09468340188264847,0.42403322,0.7998144,0.61583334,0.33456415,0.8889648,"[[505   0  15  20   0]
 [121   0  12   7   0]
 [ 43   0  39 152   0]
 [  6   0  13 195   0]
 [  3   0   6  63   0]]",0.44679654,0.7602153,0.6325,0.37318692,0.88959855,"[[165   0   9   0   0]
 [ 38   0   8   0   0]
 [ 27   0  29  36   0]
 [  7   0   2  59   0]
 [  2   0   1  17   0]]"
0.6298366701602935,0.09357472121715546,0.48444963,0.8377007,0.65416664,0.3940608,0.90081155,"[[511   2  24   3   0]
 [102   4  26   8   0]
 [ 41   3  86 104   0]
 [  3   0  27 184   0]
 [  1   0   7  64   0]]",0.4410429,0.75568026,0.62,0.3809809,0.8905145,"[[154   0  15   5   0]
 [ 38   1   7   0   0]
 [ 15   3  35  39   0]
 [  4   0   6  58   0]
 [  2   0   1  17   0]]"
0.6124020063877106,0.09319220006465911,0.53223705,0.83937633,0.685,0.44231993,0.9088942,"[[505   5  24   6   0]
 [100   9  28   3   0]
 [ 35  11 125  63   0]
 [  7   0  24 183   0]
 [  1   0   3  68   0]]",0.45609945,0.7500887,0.6325,0.41492993,0.8928665,"[[156   5  12   1   0]
 [ 33   4   9   0   0]
 [ 21   7  47  17   0]
 [  6   0  16  46   0]
 [  1   1   2  16   0]]"
0.610737621386846,0.09087613970041275,0.51091176,0.83540773,0.6666667,0.4477608,0.90572566,"[[488  25  22   5   0]
 [ 90  21  26   3   0]
 [ 39  16 111  68   0]
 [  5   2  27 180   0]
 [  0   1   5  66   0]]",0.49322498,0.78648543,0.6475,0.45493567,0.90186536,"[[147   9  14   4   0]
 [ 31  10   5   0   0]
 [ 10  11  48  23   0]
 [  3   1  10  54   0]
 [  0   0   4  16   0]]"
