Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0224443753560384,0.1254849523305893,-0.00435853,0.0010495782,0.42583334,0.14509898,0.79923904,"[[495   1  34   4   6]
 [132   0   8   0   0]
 [218   0  14   2   0]
 [191   0  21   1   1]
 [ 67   0   4   0   1]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9796889019012451,0.12128229409456254,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.835708467165629,0.11373333752155304,0.006302476,0.01548332,0.45166665,0.12831491,0.8012072,"[[540   0   0   0   0]
 [139   0   0   1   0]
 [231   0   0   3   0]
 [212   0   0   2   0]
 [ 70   0   0   2   0]]",0.19914573,0.4284277,0.5125,0.23174286,0.83704025,"[[173   0   0   1   0]
 [ 45   0   0   1   0]
 [ 73   0   0  19   0]
 [ 36   0   0  32   0]
 [  7   0   0  13   0]]"
1.5165850194295247,0.10741201490163803,0.23424613,0.48364747,0.5183333,0.23215163,0.847191,"[[496   0   0  44   0]
 [113   0   0  27   0]
 [137   0   0  97   0]
 [ 88   0   0 126   0]
 [ 17   0   0  55   0]]",0.30047822,0.5966377,0.5575,0.26877367,0.85720766,"[[170   0   0   4   0]
 [ 45   0   0   1   0]
 [ 63   0   0  29   0]
 [ 15   0   0  53   0]
 [  5   0   0  15   0]]"
1.194528609116872,0.09909339219331742,0.30117375,0.597589,0.54083335,0.25509146,0.86208135,"[[466   0   1  73   0]
 [109   0   0  31   0]
 [114   0   1 119   0]
 [ 32   0   0 182   0]
 [  6   0   0  66   0]]",0.3494017,0.72136813,0.5725,0.27336997,0.8704286,"[[167   0   0   7   0]
 [ 46   0   0   0   0]
 [ 40   0   0  52   0]
 [  6   0   0  62   0]
 [  2   0   0  18   0]]"
1.0373947636286418,0.09454770892858505,0.33992285,0.66057664,0.56583333,0.27656746,0.87013257,"[[482   0   4  54   0]
 [111   0   4  25   0]
 [102   0   7 125   0]
 [ 23   0   1 190   0]
 [  5   0   1  66   0]]",0.37720728,0.76599014,0.59,0.29373068,0.8759643,"[[169   0   1   4   0]
 [ 46   0   0   0   0]
 [ 39   0   3  50   0]
 [  3   0   1  64   0]
 [  1   0   0  19   0]]"
0.8678981717427572,0.09149581640958786,0.3873074,0.73998237,0.595,0.30827188,0.88031626,"[[497   0  18  25   0]
 [112   0  10  18   0]
 [ 82   0  20 132   0]
 [  9   0   8 197   0]
 [  6   0   3  63   0]]",0.42551547,0.79890263,0.62,0.33451384,0.88568926,"[[171   0   0   3   0]
 [ 45   0   1   0   0]
 [ 32   0  12  48   0]
 [  3   0   0  65   0]
 [  0   0   2  18   0]]"
0.8334494086106619,0.08893061816692352,0.40844625,0.7384083,0.6075,0.34297377,0.8838451,"[[490   6  25  19   0]
 [112   1  12  15   0]
 [ 72   2  47 113   0]
 [ 14   1   8 191   0]
 [  7   0   4  61   0]]",0.4416896,0.8168771,0.62,0.36968982,0.8912935,"[[160   3   7   4   0]
 [ 40   2   4   0   0]
 [ 18   2  21  51   0]
 [  1   0   2  65   0]
 [  0   0   1  19   0]]"
0.717630524635315,0.08767540097236633,0.44804144,0.80189914,0.62916666,0.3872261,0.89274937,"[[494  17  19  10   0]
 [107  13  11   9   0]
 [ 55  14  57 108   0]
 [ 10   5   8 191   0]
 [  1   0   1  70   0]]",0.48082846,0.83323044,0.64,0.42482424,0.9001868,"[[155  12   3   4   0]
 [ 34   7   5   0   0]
 [ 12   9  32  39   0]
 [  1   1   4  62   0]
 [  0   0   1  19   0]]"
0.6311926722526551,0.08824607893824578,0.49483198,0.83532417,0.6533333,0.43555441,0.9038787,"[[484  23  25   8   0]
 [ 90  25  19   6   0]
 [ 29  22  89  94   0]
 [  2   4  22 186   0]
 [  0   0   8  64   0]]",0.47933614,0.81547344,0.62,0.45842886,0.9028465,"[[127  23  21   3   0]
 [ 16  19  11   0   0]
 [  2  10  38  42   0]
 [  0   0   4  64   0]
 [  0   0   1  19   0]]"
0.6275357794761658,0.08802012383937835,0.48462117,0.8285658,0.64,0.44285583,0.90314263,"[[460  42  36   2   0]
 [ 75  39  21   5   0]
 [ 18  28  88 100   0]
 [  4   5  24 181   0]
 [  2   0   8  62   0]]",0.48440778,0.83100945,0.6375,0.43046242,0.90193087,"[[147  12  12   3   0]
 [ 31   7   8   0   0]
 [  6   9  37  40   0]
 [  0   2   2  64   0]
 [  0   0   2  18   0]]"
0.5867456124226252,0.08794026345014572,0.5019093,0.8459148,0.65,0.4595549,0.9070753,"[[461  56  17   6   0]
 [ 67  48  22   3   0]
 [ 21  48  97  68   0]
 [  1   4  35 174   0]
 [  0   0   8  64   0]]",0.5047206,0.82547736,0.64,0.47802085,0.90721124,"[[131  26  14   3   0]
 [ 17  22   7   0   0]
 [  5   8  40  39   0]
 [  0   2   3  63   0]
 [  0   0   1  19   0]]"
0.4951675208409627,0.08653521627187728,0.5460919,0.8764038,0.6816667,0.4878819,0.9152601,"[[470  59  10   1   0]
 [ 66  48  25   1   0]
 [ 14  31 112  77   0]
 [  3   3  20 188   0]
 [  0   0   6  66   0]]",0.52491575,0.8294408,0.66,0.48398316,0.9102907,"[[138  16  19   1   0]
 [ 22  16   8   0   0]
 [  4  14  47  27   0]
 [  0   1   4  63   0]
 [  0   0   3  17   0]]"
0.49366559127966564,0.0895991399884224,0.586891,0.8778226,0.70916665,0.52634305,0.9226851,"[[468  53  17   2   0]
 [ 62  64  14   0   0]
 [ 13  41 132  48   0]
 [  1   1  25 187   0]
 [  0   1   8  63   0]]",0.52285016,0.8002948,0.6625,0.48902813,0.9084004,"[[137  18  18   1   0]
 [ 23  15   8   0   0]
 [  7   8  62  15   0]
 [  2   0  15  51   0]
 [  0   0   6  14   0]]"
0.49908369024594623,0.08845070034265518,0.569847,0.8712442,0.7008333,0.5074326,0.9193773,"[[489  40  10   1   0]
 [ 64  54  18   4   0]
 [ 16  32 131  55   0]
 [  6   3  38 167   0]
 [  0   2   0  70   0]]",0.44128257,0.8060363,0.5975,0.4412703,0.8944714,"[[128  35  10   1   0]
 [ 27  16   3   0   0]
 [  4  24  55   9   0]
 [  0   2  26  40   0]
 [  0   0   5  15   0]]"
0.4791323880354563,0.08811728715896607,0.5965134,0.8760903,0.71666664,0.5381907,0.9249591,"[[477  43  15   5   0]
 [ 54  52  33   1   0]
 [ 13  38 141  42   0]
 [  0   1  26 187   0]
 [  2   0   3  64   3]]",0.46728098,0.8246944,0.63,0.46822792,0.89884055,"[[155  16   2   1   0]
 [ 34  12   0   0   0]
 [  7  30  51   4   0]
 [  1   1  33  32   1]
 [  0   0   7  11   2]]"
0.43363889863093696,0.08724072337150574,0.6303646,0.889206,0.74,0.5950114,0.9310525,"[[483  44   8   5   0]
 [ 57  65  17   1   0]
 [  8  31 156  39   0]
 [  1   4  25 174  10]
 [  2   0   3  57  10]]",0.5276383,0.8307203,0.66,0.5662665,0.9101068,"[[137  26  10   1   0]
 [ 23  16   7   0   0]
 [  6   8  50  26   2]
 [  3   2   2  53   8]
 [  0   0   3   9   8]]"
0.37130575120449066,0.08624795556068421,0.67624205,0.91068923,0.7708333,0.6831627,0.9398807,"[[488  41   9   1   1]
 [ 47  66  26   1   0]
 [  5  27 165  36   1]
 [  3   1  24 170  16]
 [  0   0   4  32  36]]",0.55088013,0.84189725,0.675,0.5878957,0.91559845,"[[137  26  10   1   0]
 [ 18  23   5   0   0]
 [  4  14  50  24   0]
 [  1   1  10  54   2]
 [  0   1   3  10   6]]"
0.377681211233139,0.0853703585267067,0.69239926,0.90801775,0.78333336,0.6990361,0.9421982,"[[494  33  10   2   1]
 [ 45  70  25   0   0]
 [ 11  21 172  30   0]
 [  3   2  28 169  12]
 [  0   0   3  34  35]]",0.5740149,0.8640519,0.685,0.61101663,0.9216203,"[[129  37   8   0   0]
 [ 12  31   3   0   0]
 [  1  20  50  21   0]
 [  0   1   7  58   2]
 [  0   0   6   8   6]]"
0.38093695481618245,0.08906798183918,0.6949969,0.90476763,0.7841667,0.6988461,0.94326514,"[[489  41   6   3   1]
 [ 42  74  22   2   0]
 [  7  26 175  26   0]
 [  3   1  29 170  11]
 [  0   1   8  30  33]]",0.5085735,0.8349606,0.6525,0.56019545,0.9051928,"[[143  23   8   0   0]
 [ 30  14   2   0   0]
 [ 10  21  46  15   0]
 [  0   1  15  52   0]
 [  0   0   6   8   6]]"
0.345926600197951,0.08545958042144776,0.7158525,0.9127839,0.8,0.7162222,0.94651747,"[[496  33   8   2   1]
 [ 43  70  24   3   0]
 [  8  17 178  30   1]
 [  2   0  25 183   4]
 [  1   0   3  35  33]]",0.5573356,0.8593118,0.685,0.59263015,0.915054,"[[144  20  10   0   0]
 [ 28  15   3   0   0]
 [  6  14  51  20   1]
 [  0   1   7  56   4]
 [  0   0   4   8   8]]"
0.31194495628277463,0.0912002119421959,0.7439722,0.93007386,0.8183333,0.75245064,0.9519905,"[[491  40   8   1   0]
 [ 40  84  13   3   0]
 [  8  22 190  14   0]
 [  1   0  22 174  17]
 [  0   0   3  26  43]]",0.5646571,0.82715464,0.6875,0.5867764,0.91800433,"[[137  13  20   4   0]
 [ 18  13  15   0   0]
 [  1   8  57  26   0]
 [  0   0   6  62   0]
 [  0   0   4  10   6]]"
0.2927148282527924,0.09537755429744721,0.7508925,0.93471104,0.8233333,0.75419545,0.95430833,"[[501  34   4   1   0]
 [ 29  86  24   1   0]
 [  4  27 177  26   0]
 [  2   0  21 185   6]
 [  0   1   2  30  39]]",0.5072439,0.7976873,0.645,0.5338236,0.9067964,"[[132  15  19   7   1]
 [ 20  13  13   0   0]
 [  4   1  48  39   0]
 [  0   0   5  60   3]
 [  0   0   1  14   5]]"
0.341616868575414,0.08950997740030289,0.74981683,0.9172772,0.82166666,0.76261246,0.95389366,"[[491  36   7   3   3]
 [ 29  95  15   0   1]
 [  6  19 177  31   1]
 [  2   1  22 178  11]
 [  0   0   2  25  45]]",0.507184,0.8204112,0.645,0.53916097,0.9075063,"[[139  27   7   1   0]
 [ 20  21   5   0   0]
 [  6  20  50  14   2]
 [  1   1  18  43   5]
 [  0   1   6   8   5]]"
0.3464740387598674,0.0915953615307808,0.7350478,0.91964006,0.8125,0.75139046,0.9505693,"[[500  30   7   3   0]
 [ 35  90  14   1   0]
 [  7  24 168  35   0]
 [  3   2  26 174   9]
 [  1   0   2  26  43]]",0.4768626,0.8277077,0.6275,0.52094495,0.9020121,"[[150  22   2   0   0]
 [ 28  17   1   0   0]
 [  5  36  40  11   0]
 [  1   2  22  38   5]
 [  0   3   4   7   6]]"
0.37011546671390533,0.09071017146110534,0.72204745,0.901377,0.8025,0.74205124,0.9482266,"[[490  39   6   3   2]
 [ 35  85  17   3   0]
 [  8  27 164  33   2]
 [  2   3  22 179   8]
 [  3   1   0  23  45]]",0.56562424,0.828286,0.6925,0.5979124,0.916308,"[[148  11  13   2   0]
 [ 24  16   6   0   0]
 [  7   9  45  31   0]
 [  2   1   1  60   4]
 [  1   0   3   8   8]]"
0.371495908399423,0.08725140690803528,0.7770215,0.90272653,0.8408333,0.79015017,0.95868444,"[[488  29  13   6   4]
 [ 21  97  21   1   0]
 [ 10  13 194  15   2]
 [  3   0  18 181  12]
 [  0   1   4  18  49]]",0.5756843,0.84595037,0.6975,0.596999,0.9194915,"[[141  23  10   0   0]
 [ 17  18  11   0   0]
 [  7   4  67  14   0]
 [  0   0  18  47   3]
 [  0   1   6   7   6]]"
0.3054493726293246,0.08830279529094696,0.7948823,0.92913187,0.855,0.80273265,0.9614184,"[[509  22   4   4   1]
 [ 30  93  14   2   1]
 [  7  10 193  22   2]
 [  1   1  22 182   8]
 [  1   1   0  21  49]]",0.57086694,0.8274189,0.6875,0.5880873,0.9198384,"[[133  24  12   3   2]
 [ 16  23   7   0   0]
 [  2   9  53  28   0]
 [  0   0   5  61   2]
 [  0   0   4  11   5]]"
0.3359955616792043,0.09131565481424332,0.7938116,0.9133319,0.85333335,0.8003285,0.96221817,"[[503  24   4   7   2]
 [ 21 100  14   4   1]
 [  4  17 191  22   0]
 [  2   0  21 183   8]
 [  1   3   4  17  47]]",0.4985475,0.80877805,0.6375,0.55760247,0.90433425,"[[135  32   4   2   1]
 [ 21  24   1   0   0]
 [ 11  21  36  24   0]
 [  2   2  10  54   0]
 [  0   0   3  11   6]]"
0.2867314082384109,0.09027888342738151,0.8024916,0.9327639,0.86,0.8120184,0.96337485,"[[509  23   3   4   1]
 [ 20  96  23   1   0]
 [  7  11 194  21   1]
 [  4   0  20 182   8]
 [  0   1   0  20  51]]",0.5234971,0.82999235,0.655,0.55022496,0.909941,"[[133  27  12   2   0]
 [ 20  22   4   0   0]
 [  5  13  47  27   0]
 [  1   1   8  56   2]
 [  0   0   3  13   4]]"
0.29130816747744875,0.09140914753079414,0.7896006,0.9277629,0.8516667,0.8054947,0.96005845,"[[511  19   3   7   0]
 [ 29  96  15   0   0]
 [  9  11 185  28   1]
 [  3   0  25 182   4]
 [  1   0   0  23  48]]",0.53840506,0.8068166,0.67,0.5707278,0.9118548,"[[136  20  15   3   0]
 [ 20  18   8   0   0]
 [  5   9  58  20   0]
 [  3   0  13  51   1]
 [  0   0   4  11   5]]"
0.27179968953132627,0.10018314242362976,0.8062888,0.93850935,0.8625,0.81450963,0.96427065,"[[511  20   4   4   1]
 [ 24  98  17   0   1]
 [  4  15 194  21   0]
 [  2   0  20 177  15]
 [  0   0   3  14  55]]",0.49480158,0.7701215,0.655,0.50797904,0.8989205,"[[153   7  13   1   0]
 [ 33   8   4   1   0]
 [ 25   2  38  25   2]
 [  2   0   6  59   1]
 [  1   1   5   9   4]]"
0.26964786618947983,0.09975189566612244,0.84150773,0.9387218,0.8875,0.84886056,0.9702985,"[[510  20   7   2   1]
 [ 19 103  17   1   0]
 [  7  10 209   7   1]
 [  2   1  14 187  10]
 [  1   1   3  11  56]]",0.46723497,0.780465,0.6375,0.48970369,0.8942512,"[[155  11   7   0   1]
 [ 38   5   3   0   0]
 [ 22   8  42  19   1]
 [  4   0  13  48   3]
 [  0   0   7   8   5]]"
0.26698552747567494,0.10015913009643555,0.8289889,0.94174486,0.87916666,0.8335618,0.96789634,"[[521  12   5   0   2]
 [ 22 103  15   0   0]
 [  7  10 199  16   2]
 [  4   2  18 177  13]
 [  0   0   0  17  55]]",0.46157002,0.77025896,0.6225,0.5365535,0.8941996,"[[142  24   7   1   0]
 [ 29  16   1   0   0]
 [ 20  14  37  21   0]
 [  4   1  13  47   3]
 [  1   0   6   6   7]]"
