Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0261965815226235,0.1259058326482773,-0.013904214,-0.03960812,0.30583334,0.15394562,0.79751873,"[[292  17   0 184  47]
 [ 73   3   0  53  11]
 [120   7   0  85  22]
 [124   6   0  70  14]
 [ 46   2   0  22   2]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9920907576878866,0.12296763986349106,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.878722038269043,0.11489437490701676,0.008916259,0.017335355,0.45333335,0.13187918,0.8015127,"[[540   0   0   0   0]
 [139   0   0   1   0]
 [234   0   0   0   0]
 [210   0   0   4   0]
 [ 70   0   0   2   0]]",0.14432162,0.28889906,0.495,0.22041678,0.8251946,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 86   0   0   6   0]
 [ 44   0   0  24   0]
 [ 12   0   0   8   0]]"
1.4508841864267985,0.1039393851161003,0.25142646,0.5138029,0.54083335,0.2469192,0.8481591,"[[520   0   0  20   0]
 [131   0   0   9   0]
 [165   0   0  69   0]
 [ 85   0   0 129   0]
 [ 19   0   0  53   0]]",0.3567512,0.71306646,0.585,0.2830933,0.8697676,"[[172   0   0   2   0]
 [ 46   0   0   0   0]
 [ 52   0   0  40   0]
 [  6   0   0  62   0]
 [  3   0   0  17   0]]"
1.0555385851860046,0.09654929131269455,0.36580217,0.7097409,0.58916664,0.27763134,0.874251,"[[511   0   0  29   0]
 [118   0   0  22   0]
 [115   0   0 119   0]
 [ 18   0   0 196   0]
 [  6   0   0  66   0]]",0.36778766,0.7624703,0.585,0.27921084,0.8742883,"[[171   0   0   3   0]
 [ 46   0   0   0   0]
 [ 39   0   0  53   0]
 [  5   0   0  63   0]
 [  1   0   0  19   0]]"
0.9418017299969991,0.09255721837282181,0.3707521,0.71145046,0.58916664,0.28421617,0.8757371,"[[503   0   1  36   0]
 [117   0   1  22   0]
 [106   0   4 124   0]
 [ 13   0   1 200   0]
 [  6   0   1  65   0]]",0.41489565,0.7993995,0.6125,0.3245468,0.8841176,"[[171   0   1   2   0]
 [ 44   0   2   0   0]
 [ 31   0  10  51   0]
 [  4   0   0  64   0]
 [  0   0   1  19   0]]"
0.8108152548472086,0.08908214122056961,0.4041658,0.7599096,0.6041667,0.31905103,0.8838185,"[[495   0  15  30   0]
 [116   0   6  18   0]
 [ 72   1  26 135   0]
 [  6   0   4 204   0]
 [  3   0   1  68   0]]",0.42681676,0.8266684,0.615,0.34779528,0.88812697,"[[168   3   2   1   0]
 [ 44   0   2   0   0]
 [ 22   9  17  44   0]
 [  2   1   4  61   0]
 [  0   0   0  20   0]]"
0.6948638780911763,0.08899520516395569,0.47005218,0.8128611,0.6433333,0.39214277,0.89745975,"[[498   4  24  14   0]
 [112   9   8  11   0]
 [ 38  10  65 121   0]
 [  4   0  10 200   0]
 [  3   0   4  65   0]]",0.46462864,0.81585586,0.6375,0.39646798,0.8951421,"[[163   2   6   3   0]
 [ 40   3   3   0   0]
 [ 18   7  28  39   0]
 [  3   0   4  61   0]
 [  0   0   0  20   0]]"
0.5996808103720347,0.08712950140237809,0.5014413,0.8428387,0.6625,0.42879885,0.9035843,"[[499  20  16   5   0]
 [ 99  19  20   2   0]
 [ 45  18  76  95   0]
 [  1   1  11 201   0]
 [  1   2   5  64   0]]",0.5006415,0.8316128,0.64,0.4627815,0.90626645,"[[140  22   8   4   0]
 [ 21  21   4   0   0]
 [  7  17  29  39   0]
 [  0   2   0  66   0]
 [  0   0   1  19   0]]"
0.5634085961182912,0.0884436821937561,0.5336841,0.860111,0.67833334,0.4701915,0.9112092,"[[483  35  19   3   0]
 [ 87  32  16   5   0]
 [ 23  34 110  67   0]
 [  1   1  23 189   0]
 [  1   0   5  66   0]]",0.5339583,0.8245666,0.675,0.48699975,0.9097501,"[[153  14   6   1   0]
 [ 27  16   3   0   0]
 [ 13  12  41  26   0]
 [  3   0   5  60   0]
 [  0   1   3  16   0]]"
0.5130195748806,0.08939656853675843,0.5612365,0.8723625,0.6958333,0.48338652,0.9181671,"[[493  30  15   2   0]
 [ 68  33  35   4   0]
 [ 11  29 124  70   0]
 [  4   2  23 185   0]
 [  0   0   9  63   0]]",0.5059925,0.8167361,0.645,0.47369373,0.9068848,"[[134  20  19   1   0]
 [ 18  16  12   0   0]
 [  5   9  46  32   0]
 [  1   0   5  62   0]
 [  0   0   4  16   0]]"
0.46377520501613617,0.08842316538095474,0.5996944,0.88624054,0.7241667,0.5143115,0.9239564,"[[499  29   9   3   0]
 [ 78  35  26   1   0]
 [ 13  22 152  47   0]
 [  3   3  25 183   0]
 [  0   1   3  68   0]]",0.5075812,0.8144421,0.6525,0.4683395,0.9060537,"[[141  20  13   0   0]
 [ 25  11  10   0   0]
 [  8  11  57  16   0]
 [  1   2  13  52   0]
 [  0   1   4  15   0]]"
0.40024972597757974,0.08764302492141723,0.6242149,0.90184176,0.7375,0.54570824,0.9300249,"[[492  42   5   1   0]
 [ 58  60  21   1   0]
 [ 10  25 157  42   0]
 [  0   3  35 176   0]
 [  0   1   4  67   0]]",0.54747283,0.82849747,0.6675,0.51371735,0.91618043,"[[128  33  13   0   0]
 [  9  29   8   0   0]
 [  4  12  47  29   0]
 [  2   1   2  63   0]
 [  0   1   3  16   0]]"
0.3738258711496989,0.08656366884708405,0.6427747,0.90958863,0.75083333,0.56007624,0.9332373,"[[493  38   9   0   0]
 [ 60  54  24   2   0]
 [  5  18 172  39   0]
 [  1   0  32 181   0]
 [  0   0   5  66   1]]",0.5569231,0.8414482,0.685,0.5091446,0.91583884,"[[145  21   8   0   0]
 [ 24  19   3   0   0]
 [  6  16  51  19   0]
 [  2   2   5  59   0]
 [  0   2   0  18   0]]"
