Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0255840015411377,0.12592040449380876,0.0032263994,-0.010025144,0.30916667,0.16711725,0.8013357,"[[320 114   3  34  69]
 [ 77  27   2  10  24]
 [124  52   3  17  38]
 [127  45   2  14  26]
 [ 48  14   1   2   7]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9942861127853393,0.12314765065908433,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.8721410051981608,0.11472638934850693,0.0046690702,0.012800455,0.45166665,0.12809369,0.8008064,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [212   0   0   2   0]
 [ 70   0   0   2   0]]",0.18675458,0.36592412,0.5125,0.23666668,0.8333671,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 80   0   0  12   0]
 [ 37   0   0  31   0]
 [ 11   0   0   9   0]]"
1.4258238863945008,0.10303828537464142,0.2848934,0.54746765,0.5566667,0.26194307,0.85421723,"[[513   0   0  27   0]
 [127   0   0  13   0]
 [173   0   0  61   0]
 [ 59   0   0 155   0]
 [ 19   0   0  53   0]]",0.3603651,0.73888993,0.5725,0.27300924,0.8743843,"[[164   0   0  10   0]
 [ 44   0   0   2   0]
 [ 31   0   0  61   0]
 [  3   0   0  65   0]
 [  2   0   0  18   0]]"
0.9638846643765767,0.0969846060872078,0.3810796,0.7543039,0.595,0.2803885,0.8784762,"[[510   0   0  30   0]
 [123   0   0  17   0]
 [ 94   0   0 140   0]
 [ 10   0   0 204   0]
 [  2   0   0  70   0]]",0.36672008,0.77137226,0.565,0.26942614,0.8790756,"[[159   0   0  15   0]
 [ 41   0   0   5   0]
 [ 15   0   0  77   0]
 [  1   0   0  67   0]
 [  0   0   0  20   0]]"
0.8970493797461192,0.09246462166309356,0.3676628,0.7264801,0.5808333,0.27652317,0.8771152,"[[493   0   2  45   0]
 [117   0   1  22   0]
 [ 76   0   2 156   0]
 [ 11   0   1 202   0]
 [  4   0   0  68   0]]",0.3950709,0.78928083,0.595,0.30501682,0.88131344,"[[166   0   2   6   0]
 [ 43   0   2   1   0]
 [ 29   0   6  57   0]
 [  2   0   0  66   0]
 [  0   0   0  20   0]]"
0.7534177633126576,0.09111797630786896,0.41302902,0.7889152,0.61083335,0.31786376,0.88604087,"[[507   0  15  18   0]
 [120   0   4  16   0]
 [ 60   0  23 151   0]
 [  9   0   2 203   0]
 [  2   0   2  68   0]]",0.4430219,0.81252897,0.6275,0.35530543,0.8900872,"[[167   0   4   3   0]
 [ 44   0   1   1   0]
 [ 24   0  20  48   0]
 [  2   0   2  64   0]
 [  0   0   1  19   0]]"
0.6335766851902008,0.08766147047281266,0.47306502,0.8352806,0.64666665,0.3781652,0.89869595,"[[511   6  16   7   0]
 [111   2  18   9   0]
 [ 35   4  68 127   0]
 [  4   0  15 195   0]
 [  2   1   5  64   0]]",0.49825478,0.83984876,0.655,0.42689365,0.90244645,"[[157   8   6   3   0]
 [ 37   4   5   0   0]
 [ 13   8  36  35   0]
 [  1   0   2  65   0]
 [  0   0   0  20   0]]"
0.5574515316883722,0.08810309439897537,0.5016905,0.8619967,0.66,0.42765597,0.9051935,"[[496  23  18   3   0]
 [100  16  21   3   0]
 [ 24  21  92  97   0]
 [  0   2  24 188   0]
 [  0   1   6  65   0]]",0.49610376,0.83363914,0.65,0.43794945,0.90261626,"[[152  11   9   2   0]
 [ 34   7   5   0   0]
 [ 11   8  36  37   0]
 [  1   1   1  65   0]
 [  0   0   2  18   0]]"
0.5336987193425496,0.08893375456333161,0.5595549,0.8691997,0.69666666,0.479852,0.91669774,"[[493  23  17   7   0]
 [ 86  27  23   4   0]
 [  9  14 129  82   0]
 [  2   2  23 187   0]
 [  0   0   9  63   0]]",0.5093211,0.8035987,0.6575,0.47208577,0.9048282,"[[147  18   9   0   0]
 [ 28  13   5   0   0]
 [ 11   9  47  25   0]
 [  3   0   9  56   0]
 [  2   0   3  15   0]]"
