Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0233848826090495,0.12572048366069793,0.025967956,0.056125462,0.35166666,0.19971031,0.80583096,"[[335  58 122  20   5]
 [ 81  14  38   6   1]
 [134  20  55  19   6]
 [120  31  45  17   1]
 [ 39  11  14   7   1]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9881597216924032,0.1224947828054428,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.8616808493932089,0.11426098853349685,0.009729147,0.019393682,0.45333335,0.1335209,0.80161285,"[[539   0   0   1   0]
 [140   0   0   0   0]
 [233   0   0   1   0]
 [209   0   0   5   0]
 [ 70   0   0   2   0]]",0.16360193,0.3297959,0.5025,0.22714421,0.8289797,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 83   0   0   9   0]
 [ 41   0   0  27   0]
 [ 11   0   0   9   0]]"
1.4623282583554587,0.10419858306646347,0.23891842,0.47184306,0.53333336,0.24349433,0.845532,"[[513   0   0  27   0]
 [130   0   0  10   0]
 [165   0   0  69   0]
 [ 87   0   0 127   0]
 [ 26   0   0  46   0]]",0.34125125,0.681111,0.575,0.27832788,0.8665103,"[[169   0   0   5   0]
 [ 45   0   0   1   0]
 [ 55   0   0  37   0]
 [  7   0   0  61   0]
 [  3   0   0  17   0]]"
1.1002331463495891,0.10101266890764236,0.34176916,0.6721465,0.5758333,0.27191767,0.8685008,"[[501   0   0  39   0]
 [125   0   0  15   0]
 [126   0   0 108   0]
 [ 24   0   0 190   0]
 [  7   0   0  65   0]]",0.3449654,0.6834744,0.58,0.28366727,0.8663024,"[[170   0   0   4   0]
 [ 46   0   0   0   0]
 [ 60   0   0  32   0]
 [  6   0   0  62   0]
 [  3   0   0  17   0]]"
0.9332226554552714,0.09517711609601974,0.36454272,0.7074081,0.5833333,0.2763102,0.8751313,"[[499   0   0  41   0]
 [120   0   1  19   0]
 [ 92   0   1 141   0]
 [ 14   0   0 200   0]
 [  8   0   0  64   0]]",0.36451495,0.7569612,0.58,0.27835247,0.8738842,"[[167   0   1   6   0]
 [ 46   0   0   0   0]
 [ 38   0   0  54   0]
 [  3   0   0  65   0]
 [  1   0   0  19   0]]"
0.9196347721417745,0.09157476603984832,0.36762708,0.70969737,0.585,0.29797623,0.87583274,"[[498   0   8  34   0]
 [113   0  10  17   0]
 [ 92   0  17 125   0]
 [ 21   0   6 187   0]
 [  4   0   2  66   0]]",0.4148736,0.77189994,0.6125,0.3405517,0.8827996,"[[165   0   7   2   0]
 [ 44   0   1   1   0]
 [ 35   0  15  42   0]
 [  3   0   0  65   0]
 [  1   0   0  19   0]]"
0.8075228969256083,0.09028343498706817,0.4028777,0.7601677,0.60333335,0.32217303,0.88375306,"[[496   1  17  26   0]
 [116   0  11  13   0]
 [ 67   0  30 137   0]
 [  8   0   8 198   0]
 [  4   0   5  63   0]]",0.39093047,0.78042555,0.5875,0.31358004,0.88147545,"[[160   0   8   6   0]
 [ 42   0   2   2   0]
 [ 21   1  10  60   0]
 [  3   0   0  65   0]
 [  0   0   1  19   0]]"
0.7088615902264913,0.08758437067270279,0.4371006,0.80586714,0.62166667,0.35944796,0.891313,"[[494  10  23  13   0]
 [111   4  16   9   0]
 [ 50  12  48 124   0]
 [  3   2   9 200   0]
 [  3   0   1  68   0]]",0.48187476,0.8343111,0.645,0.41094673,0.8994527,"[[158   8   5   3   0]
 [ 40   2   4   0   0]
 [ 11  10  37  34   0]
 [  2   0   5  61   0]
 [  0   0   1  19   0]]"
0.6914284749825795,0.08740169107913971,0.45853245,0.8108876,0.63166666,0.4070737,0.8957996,"[[481  32  16  11   0]
 [ 98  15  22   5   0]
 [ 45  16  85  88   0]
 [  7   5  25 177   0]
 [  0   1   4  67   0]]",0.5210779,0.82655245,0.665,0.47038263,0.9077027,"[[146  10  17   1   0]
 [ 29  10   7   0   0]
 [  9   7  51  25   0]
 [  0   2   7  59   0]
 [  0   0   2  18   0]]"
0.627191785176595,0.0863907191157341,0.50281817,0.8358878,0.655,0.44927043,0.9059718,"[[468  34  30   8   0]
 [ 81  29  25   5   0]
 [ 21  29 106  78   0]
 [  4   2  25 183   0]
 [  0   0   4  68   0]]",0.57295376,0.8367251,0.6925,0.52583534,0.91996855,"[[136  20  17   1   0]
 [ 16  22   8   0   0]
 [  3   8  60  21   0]
 [  0   2   7  59   0]
 [  0   0   4  16   0]]"
0.5723553019762039,0.08766169786453247,0.53271127,0.8435122,0.6791667,0.46743637,0.9104284,"[[483  39  14   4   0]
 [ 85  25  29   1   0]
 [ 26  15 130  63   0]
 [  7   1  29 177   0]
 [  1   1  11  59   0]]",0.53555274,0.8270893,0.665,0.49634492,0.91317034,"[[135  25  14   0   0]
 [ 16  19  11   0   0]
 [  4   9  54  25   0]
 [  1   3   6  58   0]
 [  0   1   3  16   0]]"
0.5563550690809885,0.08843214809894562,0.5272917,0.8509637,0.6716667,0.46950215,0.9106895,"[[472  42  20   6   0]
 [ 79  32  26   3   0]
 [ 19  30 127  58   0]
 [  3   4  32 175   0]
 [  0   0   5  67   0]]",0.5011742,0.81809163,0.6575,0.46086502,0.90272653,"[[155  14   5   0   0]
 [ 37   9   0   0   0]
 [ 13  19  53   7   0]
 [  2   2  18  46   0]
 [  0   0   6  14   0]]"
0.5126824736595154,0.08906322240829467,0.60617435,0.86874366,0.72583336,0.5331892,0.9261764,"[[491  35   7   7   0]
 [ 57  56  25   2   0]
 [ 16  27 156  35   0]
 [  4   4  38 168   0]
 [  0   1   7  64   0]]",0.525949,0.81306326,0.665,0.49130952,0.90983856,"[[144  19  10   1   0]
 [ 20  19   7   0   0]
 [  8  13  56  15   0]
 [  3   0  18  47   0]
 [  0   0   5  15   0]]"
0.4731600161393483,0.0891055217385292,0.578691,0.8797479,0.705,0.5059719,0.922176,"[[482  45   8   5   0]
 [ 58  44  35   3   0]
 [  9  27 150  48   0]
 [  0   4  40 170   0]
 [  0   0   8  64   0]]",0.49098623,0.7874833,0.64,0.4712499,0.903097,"[[141  27   6   0   0]
 [ 20  22   4   0   0]
 [  9  16  59   8   0]
 [  4   0  30  34   0]
 [  1   0   6  13   0]]"
0.4726525721947352,0.08726017117500305,0.5988851,0.8790464,0.7191667,0.5481534,0.9245796,"[[476  42  16   6   0]
 [ 69  52  17   2   0]
 [  8  27 156  43   0]
 [  1   2  31 175   5]
 [  1   0   3  64   4]]",0.49921966,0.812319,0.635,0.50389016,0.9056164,"[[127  38   9   0   0]
 [ 17  26   3   0   0]
 [  6  18  49  19   0]
 [  1   1  15  51   0]
 [  1   0   5  13   1]]"
