Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.0220784282684328,0.12537138164043427,6.8068504e-05,0.008645713,0.285,0.1675981,0.8002231,"[[257 192  17  73   1]
 [ 62  54  10  14   0]
 [113  74   9  37   1]
 [100  81  11  22   0]
 [ 33  23   3  13   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9528938055038452,0.11976925611495971,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.7000370661417643,0.11116997987031936,0.14268279,0.32095766,0.485,0.20096746,0.82785606,"[[509   0   0  31   0]
 [126   0   0  14   0]
 [168   0   0  66   0]
 [141   0   0  73   0]
 [ 32   0   0  40   0]]",0.30837017,0.6321496,0.535,0.25386238,0.86421794,"[[154   0   0  20   0]
 [ 40   0   0   6   0]
 [ 33   0   0  59   0]
 [  8   0   0  60   0]
 [  3   0   0  17   0]]"
1.3508822234471638,0.10319370985031127,0.2993949,0.584636,0.5425,0.25223175,0.8618901,"[[478   0   0  62   0]
 [105   0   0  35   0]
 [110   0   0 124   0]
 [ 41   0   0 173   0]
 [ 11   0   0  61   0]]",0.34053648,0.697243,0.5575,0.2659039,0.8704873,"[[159   0   0  15   0]
 [ 42   0   0   4   0]
 [ 33   0   0  59   0]
 [  4   0   0  64   0]
 [  2   0   0  18   0]]"
1.0661550982793173,0.09641279518604279,0.3398211,0.667512,0.56583333,0.27260977,0.8699573,"[[481   0   3  56   0]
 [115   0   1  24   0]
 [104   0   4 126   0]
 [ 20   0   0 194   0]
 [  4   0   0  68   0]]",0.36648,0.7523033,0.58,0.28523743,0.87463796,"[[166   0   3   5   0]
 [ 44   0   0   2   0]
 [ 36   0   2  54   0]
 [  4   0   0  64   0]
 [  1   0   0  19   0]]"
0.8896201475461324,0.09215785145759582,0.37611622,0.7281927,0.59,0.2925835,0.8773882,"[[498   0   8  34   0]
 [120   0   6  14   0]
 [ 90   0   9 135   0]
 [ 11   0   2 201   0]
 [  6   0   1  65   0]]",0.4139111,0.7942414,0.6125,0.33276525,0.88326997,"[[169   0   2   3   0]
 [ 46   0   0   0   0]
 [ 33   0  13  46   0]
 [  3   0   2  63   0]
 [  0   0   0  20   0]]"
0.7760698727766673,0.08930221378803253,0.41041064,0.7768472,0.60583335,0.3285135,0.88603854,"[[494   0  22  24   0]
 [108   1  18  13   0]
 [ 65   2  32 135   0]
 [  4   0  10 200   0]
 [  1   1   4  66   0]]",0.42779648,0.820384,0.615,0.35357708,0.8875729,"[[164   4   5   1   0]
 [ 43   1   2   0   0]
 [ 24   3  17  48   0]
 [  2   0   2  64   0]
 [  0   0   0  20   0]]"
0.7029762371381124,0.08807837873697281,0.45261222,0.8050409,0.6308333,0.38833103,0.8946736,"[[496   9  23  12   0]
 [104  13  17   6   0]
 [ 42  11  61 120   0]
 [  6   2  19 187   0]
 [  3   1   4  64   0]]",0.44508332,0.8208439,0.62,0.38899565,0.891714,"[[157  10   5   2   0]
 [ 40   5   1   0   0]
 [ 17   5  21  49   0]
 [  3   0   0  65   0]
 [  0   0   1  19   0]]"
0.6211741169293722,0.08826841145753861,0.4834339,0.83617765,0.645,0.43100923,0.901534,"[[478  26  28   8   0]
 [ 92  29  14   5   0]
 [ 32  19  77 106   0]
 [  0   1  23 190   0]
 [  0   1   6  65   0]]",0.4746341,0.8249362,0.6325,0.4372062,0.89937335,"[[152  17   4   1   0]
 [ 34  12   0   0   0]
 [ 10  21  31  30   0]
 [  2   2   6  58   0]
 [  0   1   3  16   0]]"
0.6184068558613459,0.08911430388689041,0.50237024,0.83906305,0.65416664,0.45534733,0.9061435,"[[474  45  13   8   0]
 [ 80  43  15   2   0]
 [ 24  39  90  81   0]
 [  2   7  27 178   0]
 [  1   1   7  63   0]]",0.48362052,0.817992,0.6475,0.4338261,0.89908206,"[[159  12   2   1   0]
 [ 41   5   0   0   0]
 [ 15  16  41  20   0]
 [  2   1  11  54   0]
 [  0   2   3  15   0]]"
0.530960746606191,0.08723571583628655,0.5401765,0.86509943,0.68083334,0.47691935,0.9132025,"[[479  44  16   1   0]
 [ 79  36  22   3   0]
 [ 18  29 114  73   0]
 [  0   3  23 188   0]
 [  2   1   6  63   0]]",0.5003836,0.8295028,0.65,0.46383917,0.90331006,"[[145  19  10   0   0]
 [ 34  11   1   0   0]
 [  9  16  46  21   0]
 [  2   1   7  58   0]
 [  0   0   3  17   0]]"
0.4991052536169688,0.08579286590218543,0.57097924,0.87474996,0.70166665,0.5056175,0.9191993,"[[484  39  17   0   0]
 [ 70  48  19   3   0]
 [ 17  34 129  54   0]
 [  2   0  31 181   0]
 [  0   1   8  63   0]]",0.52399564,0.84150887,0.665,0.4846062,0.9089472,"[[147  23   4   0   0]
 [ 31  14   1   0   0]
 [  7  20  53  12   0]
 [  1   2  13  52   0]
 [  0   1   4  15   0]]"
0.47185470203558605,0.08807942658662796,0.57844985,0.8794587,0.70666665,0.50564563,0.9215184,"[[490  36  10   4   0]
 [ 65  44  29   2   0]
 [  9  27 144  54   0]
 [  2   0  42 170   0]
 [  0   1   8  63   0]]",0.5230137,0.8222943,0.6575,0.49441046,0.9090454,"[[132  28  14   0   0]
 [ 21  19   6   0   0]
 [  7  10  54  21   0]
 [  2   1   7  58   0]
 [  0   0   3  17   0]]"
0.43888104836146036,0.08890510261058808,0.59993273,0.8835197,0.7191667,0.53156126,0.925449,"[[476  52  11   1   0]
 [ 56  58  25   1   0]
 [ 10  28 155  41   0]
 [  3   1  36 174   0]
 [  1   0   6  65   0]]",0.5403186,0.82288796,0.6725,0.5018594,0.9132409,"[[145  25   4   0   0]
 [ 21  22   3   0   0]
 [  6  18  50  18   0]
 [  3   3  10  52   0]
 [  0   1   7  12   0]]"
