Train Loss,Test Loss,Train CohenKappa,Train QWK,Train Multiaccuracy,Train F1-Score,Train Specificity,Train Confusion Matrix,Test CohenKappa,Test QWK,Test Multiaccuracy,Test F1-Score,Test Specificity,Test Confusion Matrix
2.023823038736979,0.12576618522405625,0.008512795,0.0055383444,0.38416666,0.18105376,0.801938,"[[409   9  22  96   4]
 [ 98   3   7  31   1]
 [176   3  14  36   5]
 [160   8  11  33   2]
 [ 51   2   5  12   2]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.9908747212092082,0.12278660386800766,0.0,0.0,0.45,0.12413792,0.8,"[[540   0   0   0   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [214   0   0   0   0]
 [ 72   0   0   0   0]]",0.0,0.0,0.435,0.12125436,0.8,"[[174   0   0   0   0]
 [ 46   0   0   0   0]
 [ 92   0   0   0   0]
 [ 68   0   0   0   0]
 [ 20   0   0   0   0]]"
1.8699052413304647,0.11470478355884552,0.010540605,0.015691876,0.45333335,0.13667811,0.80161285,"[[537   0   0   3   0]
 [140   0   0   0   0]
 [234   0   0   0   0]
 [207   0   0   7   0]
 [ 71   0   0   1   0]]",0.21335262,0.4590916,0.5175,0.23457766,0.84022284,"[[173   0   0   1   0]
 [ 46   0   0   0   0]
 [ 67   0   0  25   0]
 [ 34   0   0  34   0]
 [  7   0   0  13   0]]"
1.4626581772168477,0.10381564825773239,0.25639397,0.5190325,0.5391667,0.24500418,0.8500578,"[[515   0   0  25   0]
 [123   0   0  17   0]
 [154   0   0  80   0]
 [ 82   0   0 132   0]
 [ 18   0   0  54   0]]",0.35515684,0.7201114,0.575,0.27462962,0.8718787,"[[167   0   0   7   0]
 [ 45   0   0   1   0]
 [ 38   0   0  54   0]
 [  5   0   0  63   0]
 [  3   0   0  17   0]]"
1.1303863112131756,0.0970356324315071,0.33856672,0.6700002,0.56583333,0.26593637,0.869874,"[[486   0   0  54   0]
 [118   0   0  22   0]
 [ 99   0   0 135   0]
 [ 21   0   0 193   0]
 [  6   0   0  66   0]]",0.36338323,0.75367045,0.58,0.2772435,0.8736486,"[[168   0   0   6   0]
 [ 46   0   0   0   0]
 [ 38   0   0  54   0]
 [  4   0   0  64   0]
 [  1   0   0  19   0]]"
0.9503085974852244,0.09195805549621582,0.35878134,0.70407164,0.58,0.27563652,0.8739192,"[[498   0   0  42   0]
 [118   0   0  22   0]
 [ 98   0   2 134   0]
 [ 18   0   0 196   0]
 [  4   0   1  67   0]]",0.3992089,0.802656,0.5975,0.30420834,0.88262177,"[[168   0   1   5   0]
 [ 45   0   0   1   0]
 [ 24   0   6  62   0]
 [  3   0   0  65   0]
 [  0   0   0  20   0]]"
0.8279144875208537,0.09027057290077209,0.39667666,0.7421812,0.6,0.3101529,0.8827902,"[[501   0  10  29   0]
 [110   0   7  23   0]
 [ 70   0  21 143   0]
 [ 11   0   5 198   0]
 [  6   0   4  62   0]]",0.44097096,0.8286056,0.62,0.34723896,0.8923773,"[[165   0   5   4   0]
 [ 41   0   2   3   0]
 [ 13   0  19  60   0]
 [  1   0   3  64   0]
 [  0   0   1  19   0]]"
0.7196056520938874,0.08916240990161896,0.43347502,0.7976579,0.6225,0.3468878,0.8901673,"[[503   0  24  13   0]
 [114   0  13  13   0]
 [ 54   1  49 130   0]
 [  8   0  11 195   0]
 [  1   0   6  65   0]]",0.47758734,0.81749535,0.6425,0.3992749,0.8980819,"[[155   2  14   3   0]
 [ 41   1   2   2   0]
 [ 11   3  37  41   0]
 [  1   0   3  64   0]
 [  0   0   2  18   0]]"
0.6742821764945984,0.0887505978345871,0.46921182,0.8127011,0.6408333,0.39388627,0.8980969,"[[492   3  31  14   0]
 [ 99   8  27   6   0]
 [ 40   5  78 111   0]
 [  1   0  22 191   0]
 [  2   0   7  63   0]]",0.4604084,0.81935775,0.635,0.39307976,0.8936994,"[[161   6   6   1   0]
 [ 42   1   3   0   0]
 [ 22  11  29  30   0]
 [  1   1   3  63   0]
 [  0   0   2  18   0]]"
0.6345972482363383,0.09100208312273025,0.5070013,0.8367427,0.66083336,0.44867003,0.90620106,"[[484  25  22   9   0]
 [ 83  33  22   2   0]
 [ 32  25  84  93   0]
 [  2   1  19 192   0]
 [  0   3   5  64   0]]",0.4609164,0.79546046,0.62,0.42426342,0.89694417,"[[142  10  18   4   0]
 [ 28   9   8   1   0]
 [  7   5  33  47   0]
 [  3   0   1  64   0]
 [  0   0   1  19   0]]"
